woohoo	w uː h uː
pictural	p ɪ k t͡ʃ ə ɹ ə l
stasi	s t ɑː z i
literature	l ɪ t ɚ t͡ʃ ɚ
horrendous	h ə ɹ ɛ n d ə s
wickiup	w ɪ k i ʌ p
blasphemy	b l æ s f ə m i
jacksonian	d͡ʒ æ k s o ʊ n i ə n
wacko	w æ k ə ʊ
ruckus	ɹ ʌ k ə s
garboil	ɡ ɑː ɹ b ɔ ɪ l
nuxálk	n uː h ɒ l k
danger	d e ɪ n d͡ʒ ɚ
boulogne	b ə l ɔ ɪ n
mullah	m ʊ l ə
karakalpakstan	k ɑ ɹ ə k ɑ l p ɑ k s t æ n
oats	o ʊ t s
leicestrian	l ɛ s t ɹ ɪ ə n
cuirass	k j ʊ ɹ æ s
cribble	k ɹ ɪ b ə l
ivanovna	ɪ v æ n ə v n ə
zzzs	z iː z
baritsu	b ɑː ɹ ɪ t s uː
okie	o ʊ k i
copay	k o ʊ p e ɪ
fascism	f æ ʃ ɪ z ə m
ingravidate	ɪ ŋ ɡ ɹ æ v ɪ d e ɪ t
preprepare	p ɹ i p ɹ ɪ p ɛ ɹ
superseminate	s uː p ə ɹ s ɛ m ɪ n e ɪ t
bebusy	b ɪ b ɪ z i
starven	s t ɑ ɹ v ə n
equinoctial	iː k w ə n ɑ k ʃ ə l
pipradol	p ɪ p ɹ ə d ɒ l
tetraeteris	t ɛ t r ə ɛ d ə r ə s
storie	s t ɔː ɹ i
accommodation	ə k ɑ m ə d e ɪ ʃ ə n
accentual	æ k s ɛ n t͡ʃ u ə l
redder	ɹ ɛ d ɚ
employed	ɛ m p l ɔ ɪ d
emma	ɛ m ə
fact	f æ k t
commitment	k ə m ɪ t m ə n t
valuable	v æ l j u ə b l̩
nausicaa	n ɔː s ɪ k i ə
politique	p ɑ l ə t ɪ k
frowned	f ɹ a ʊ n d
terpenoid	t ɝ p ə n ɔ ɪ d
howler	h a ʊ l ɚ
bolder	b o ʊ l d ə ɹ
turkey	t ɝ k i
pigtail	p ɪ ɡ t e ɪ l
australian	ɔ s t ɹ ɛ l i ə n
efforce	ɪ f ɔː ɹ s
aleglitazar	æ l ə ɡ l ɪ t ə z ɑ ɹ
livor	l a ɪ v ɔ ə ɹ
cuzco	k uː s k o ʊ
mortal	m ɔ ɹ t ə l
pines	p a ɪ n z
cabg	k æ b ɪ d͡ʒ
personality	p ɝ s ə n æ l ɪ t i
retransfer	ɹ iː t ɹ æ n s f ə ɹ
expressions	ɪ k s p ɹ ɛ ʃ ə n z
nutty	n ʌ t i
tokanui	t ɒ k ɑː n uː iː
blackings	b l æ k ɪ ŋ z
handwavium	h æ n d w e ɪ v i ə m
sureness	ʃ ʊ ɹ n ə s
hogmanay	h ɑ ɡ m ə n e ɪ
outburst	a ʊ t b ɝ s t
omnipresent	ɑ m n ɪ p ɹ ɛ z n̩ t
besilesomab	b ɛ s ɪ l ɛ s ə m æ b
mondegreen	m ɑ n d ə ɡ ɹ iː n
rhythmlessly	ɹ ɪ ð m̩ l ə s l i
chard	t͡ʃ ɑ ɹ d
trudeau	t ɹ uː d o ʊ
telegraphy	t ə l ɛ ɡ ɹ ə f i
nipple	n ɪ p ə l
finalize	f a ɪ n ə l a ɪ z
nippon	n ɪ p ɑ n
shitting	ʃ ɪ t ɪ ŋ
advent	æ d v ə n t
busted	b ʌ s t ə d
stomp	s t ɑ m p
methicilin	m ɛ θ ɪ s ɪ l ɪ n
succame	s ə k e ɪ m
hypospadias	h a ɪ p ə s p e ɪ d i ə s
youthenize	j uː θ ə n a ɪ z
sandwich	s æ n d w ɪ d͡ʒ
