necessitous	n ə s ɛ s ə t ə s
litterateur	l ɪ t ə ɹ ə t ʊ ɚ
orenda	o ʊ ɹ ɛ n d ə
bighead	b ɪ ɡ h ɛ d
sprite	s p ɹ a ɪ t
ferroconcrete	f ɛ ɹ o ʊ k ɑ n k ɹ i t
jacuzzi	d͡ʒ ə k u z i
a'n't	æ n t
ampere	æ m p ɪ ə r
risorius	ɹ ɪ s ɔ ɹ i ə s
pest	p ɛ s t
gaymer	ɡ e ɪ m ɚ
picador	p ɪ k ə d ɔː ɹ
straitjacketing	s t ɹ e ɪ t d͡ʒ æ k ɪ t ɪ ŋ
splooge	s p l uː d͡ʒ
theories	θ iː ə ɹ i z
diamagnetic	d a ɪ ə m æ ɡ n ɛ t ɪ k
dispenser	d ɪ s p ɛ n s ə
quetiapine	k w ɪ t a ɪ ə p i n
matitudinal	m æ t ə t j u d ə n l̩
transcribe	t r æ n s k ɹ a ɪ b
bull	b ʊ l
emir	ɛ m ɪ ə ɹ
graded	ɡ ɹ e ɪ d ɪ d
competence	k ɒ m p ə t ə n s
bloomed	b l uː m d
globus	ɡ l ə ʊ b ə s
sika	s iː k ə
groundbreaking	ɡ ɹ a ʊ n d b ɹ e ɪ k ɪ ŋ
alucard	æ l ə k ɑː ɹ d
lexicon	l ɛ k s ɪ k ɑ n
austin	ɔ s t ɪ n
tsunauchi	t s uː n ɑː uː t͡ʃ i
piezoelectricity	p i e ɪ z ə ʊ ɪ l ɛ k t r ɪ s ɪ t i
redden	ɹ ɛ d n̩
ethane	ɛ θ e ɪ n
undertook	ʌ n d ə ɹ t ʊ k
stilton	s t ɪ l t ə n
foulsome	f a ʊ l s ə m
strophe	s t r o ʊ f i
treyf	t ɹ e ɪ f
volvelle	v ɑ l v ɛ l
unionization	j uː n j ə n a ɪ z e ɪ ʃ ə n
jeepney	d͡ʒ iː p n i
solum	s o ʊ l ə m
ludomusicologist	l u d o ʊ m j u z ɪ k ɑ l ə d͡ʒ ɪ s t
tsushima	s uː ʃ iː m ə
question	k w ɛ s t j ə n
cheeped	t͡ʃ iː p t
blood	b l ʌ d
gimlet	ɡ ɪ m l ə t
mses	m ɪ z ə z
lavandin	l æ v ə n d ɪ n
stare	s t ɛ ɚ
utonian	j uː t o ʊ n i ə n
inventor	ɪ n v ɛ n t ɚ
lessen	l ɛ s ə n
crust	k ɹ ʌ s t
grossly	ɡ ɹ o ʊ s l i
prima	p ɹ iː m ə
debit	d ɛ b ɪ t
embale	ɪ m b e ɪ l
zoledronate	z o ʊ l ɛ d ɹ ə n e ɪ t
pleiades	p l a ɪ ə d i z
barometz	b æ ɹ ə m ɛ t s
this's	ð ɪ s ɪ z
hermitty	h ɜː ɹ m ɪ t i
miniature	m ɪ n i ə t͡ʃ ə ɹ
liraglutide	l ɪ ɹ æ ɡ l ʊ t a ɪ d
frontlet	f ɹ ʌ n t l ə t
squeteague	s k w iː t iː ɡ
copay	k o ʊ p e ɪ
hayward	h e ɪ w ə ɹ d
promises	p ɹ ɑ m ɪ s ɪ z
chute	ʃ j uː t
croggle	k ɹ ɒ ɡ ə l
semantics	s ɪ m æ n t ɪ k s
tac	t æ k
baccarat	b æ k ə ɹ ɑː
considerative	k ɑ n s ɪ d ə ɹ e ɪ t ɪ v
cabg	k æ b ɪ d͡ʒ
ion	a ɪ o ʊ n
docks	d ɒ k s
leady	l ɛ d i
advertiser	æ d v ɚ t a ɪ z ɚ
nasus	n e ɪ s ə s
pultaceous	p ʌ l t e ɪ ʃ ə s
deserve	d ɪ z ɝ v
routine	ɹ uː t iː n
bereft	b ə ɹ ɛ f t
canadiens	k ə n e ɪ d i ə n z
bins	b ɪ n z
blackguard	b l æ ɡ ɚ d
cannon	k æ n ə n
malm	m ɑː l m
pulls	p ʊ l z
